intersection_id,timestamp,hour,day_of_week,vehicle_count,avg_speed_kmh,density,traffic_state
1,2026-01-01 00:00:00,0,Thursday,17,50.7,0.28,Free Flow
1,2026-01-01 00:15:00,0,Thursday,8,56.3,0.13,Free Flow
1,2026-01-01 00:30:00,0,Thursday,6,56.0,0.1,Free Flow
1,2026-01-01 00:45:00,0,Thursday,13,54.2,0.22,Free Flow
1,2026-01-01 01:00:00,1,Thursday,23,57.0,0.38,Free Flow
1,2026-01-01 01:15:00,1,Thursday,5,56.3,0.08,Free Flow
1,2026-01-01 01:30:00,1,Thursday,9,55.7,0.15,Free Flow
1,2026-01-01 01:45:00,1,Thursday,13,54.7,0.22,Free Flow
1,2026-01-01 02:00:00,2,Thursday,13,58.1,0.22,Free Flow
1,2026-01-01 02:15:00,2,Thursday,0,64.5,0.0,Free Flow
1,2026-01-01 02:30:00,2,Thursday,2,56.1,0.03,Free Flow
1,2026-01-01 02:45:00,2,Thursday,19,53.9,0.32,Free Flow
1,2026-01-01 03:00:00,3,Thursday,1,58.0,0.02,Free Flow
1,2026-01-01 03:15:00,3,Thursday,7,55.8,0.12,Free Flow
1,2026-01-01 03:30:00,3,Thursday,1,55.4,0.02,Free Flow
1,2026-01-01 03:45:00,3,Thursday,12,60.0,0.2,Free Flow
1,2026-01-01 04:00:00,4,Thursday,15,54.1,0.25,Free Flow
1,2026-01-01 04:15:00,4,Thursday,16,60.2,0.27,Free Flow
1,2026-01-01 04:30:00,4,Thursday,13,56.5,0.22,Free Flow
1,2026-01-01 04:45:00,4,Thursday,4,56.3,0.07,Free Flow
1,2026-01-01 05:00:00,5,Thursday,0,54.5,0.0,Free Flow
1,2026-01-01 05:15:00,5,Thursday,13,57.5,0.22,Free Flow
1,2026-01-01 05:30:00,5,Thursday,13,57.2,0.22,Free Flow
1,2026-01-01 05:45:00,5,Thursday,15,58.7,0.25,Free Flow
1,2026-01-01 06:00:00,6,Thursday,56,33.1,0.93,Moderate
1,2026-01-01 06:15:00,6,Thursday,57,39.8,0.95,Moderate
1,2026-01-01 06:30:00,6,Thursday,64,34.1,1.07,Moderate
1,2026-01-01 06:45:00,6,Thursday,66,36.7,1.1,Moderate
1,2026-01-01 07:00:00,7,Thursday,138,5.0,2.3,Critical
1,2026-01-01 07:15:00,7,Thursday,136,9.4,2.27,Critical
1,2026-01-01 07:30:00,7,Thursday,149,5.0,2.48,Critical
1,2026-01-01 07:45:00,7,Thursday,148,5.0,2.47,Critical
1,2026-01-01 08:00:00,8,Thursday,179,5.0,2.98,Critical
1,2026-01-01 08:15:00,8,Thursday,161,5.0,2.68,Critical
1,2026-01-01 08:30:00,8,Thursday,125,9.1,2.08,Critical
1,2026-01-01 08:45:00,8,Thursday,145,5.0,2.42,Critical
1,2026-01-01 09:00:00,9,Thursday,87,24.2,1.45,Congested
1,2026-01-01 09:15:00,9,Thursday,80,23.9,1.33,Congested
1,2026-01-01 09:30:00,9,Thursday,78,40.6,1.3,Congested
1,2026-01-01 09:45:00,9,Thursday,92,19.9,1.53,Congested
1,2026-01-01 10:00:00,10,Thursday,86,19.8,1.43,Congested
1,2026-01-01 10:15:00,10,Thursday,90,23.9,1.5,Congested
1,2026-01-01 10:30:00,10,Thursday,92,27.2,1.53,Congested
1,2026-01-01 10:45:00,10,Thursday,84,27.8,1.4,Congested
1,2026-01-01 11:00:00,11,Thursday,53,33.1,0.88,Moderate
1,2026-01-01 11:15:00,11,Thursday,53,44.7,0.88,Moderate
1,2026-01-01 11:30:00,11,Thursday,58,37.5,0.97,Moderate
1,2026-01-01 11:45:00,11,Thursday,60,33.5,1.0,Moderate
1,2026-01-01 12:00:00,12,Thursday,59,37.3,0.98,Moderate
1,2026-01-01 12:15:00,12,Thursday,67,34.7,1.12,Moderate
1,2026-01-01 12:30:00,12,Thursday,65,35.7,1.08,Moderate
1,2026-01-01 12:45:00,12,Thursday,59,32.6,0.98,Moderate
1,2026-01-01 13:00:00,13,Thursday,66,32.5,1.1,Moderate
1,2026-01-01 13:15:00,13,Thursday,75,20.1,1.25,Congested
1,2026-01-01 13:30:00,13,Thursday,76,33.1,1.27,Congested
1,2026-01-01 13:45:00,13,Thursday,61,37.2,1.02,Moderate
1,2026-01-01 14:00:00,14,Thursday,44,42.9,0.73,Moderate
1,2026-01-01 14:15:00,14,Thursday,75,32.0,1.25,Congested
1,2026-01-01 14:30:00,14,Thursday,68,29.4,1.13,Moderate
1,2026-01-01 14:45:00,14,Thursday,67,33.6,1.12,Moderate
1,2026-01-01 15:00:00,15,Thursday,62,42.4,1.03,Moderate
1,2026-01-01 15:15:00,15,Thursday,52,34.8,0.87,Moderate
1,2026-01-01 15:30:00,15,Thursday,61,35.5,1.02,Moderate
1,2026-01-01 15:45:00,15,Thursday,51,38.1,0.85,Moderate
1,2026-01-01 16:00:00,16,Thursday,92,20.3,1.53,Congested
1,2026-01-01 16:15:00,16,Thursday,100,12.5,1.67,Critical
1,2026-01-01 16:30:00,16,Thursday,86,28.5,1.43,Congested
1,2026-01-01 16:45:00,16,Thursday,94,24.1,1.57,Congested
1,2026-01-01 17:00:00,17,Thursday,159,5.0,2.65,Critical
1,2026-01-01 17:15:00,17,Thursday,161,5.0,2.68,Critical
1,2026-01-01 17:30:00,17,Thursday,152,5.0,2.53,Critical
1,2026-01-01 17:45:00,17,Thursday,154,5.0,2.57,Critical
1,2026-01-01 18:00:00,18,Thursday,171,5.0,2.85,Critical
1,2026-01-01 18:15:00,18,Thursday,149,5.0,2.48,Critical
1,2026-01-01 18:30:00,18,Thursday,128,7.7,2.13,Critical
1,2026-01-01 18:45:00,18,Thursday,140,9.6,2.33,Critical
1,2026-01-01 19:00:00,19,Thursday,81,22.9,1.35,Congested
1,2026-01-01 19:15:00,19,Thursday,102,16.3,1.7,Critical
1,2026-01-01 19:30:00,19,Thursday,90,17.2,1.5,Congested
1,2026-01-01 19:45:00,19,Thursday,83,27.6,1.38,Congested
1,2026-01-01 20:00:00,20,Thursday,40,46.0,0.67,Free Flow
1,2026-01-01 20:15:00,20,Thursday,45,41.5,0.75,Moderate
1,2026-01-01 20:30:00,20,Thursday,72,29.6,1.2,Congested
1,2026-01-01 20:45:00,20,Thursday,53,43.6,0.88,Moderate
1,2026-01-01 21:00:00,21,Thursday,48,43.2,0.8,Moderate
1,2026-01-01 21:15:00,21,Thursday,49,32.9,0.82,Moderate
1,2026-01-01 21:30:00,21,Thursday,53,41.9,0.88,Moderate
1,2026-01-01 21:45:00,21,Thursday,80,27.4,1.33,Congested
1,2026-01-01 22:00:00,22,Thursday,60,33.0,1.0,Moderate
1,2026-01-01 22:15:00,22,Thursday,43,34.8,0.72,Moderate
1,2026-01-01 22:30:00,22,Thursday,64,32.1,1.07,Moderate
1,2026-01-01 22:45:00,22,Thursday,57,34.5,0.95,Moderate
1,2026-01-01 23:00:00,23,Thursday,47,44.5,0.78,Moderate
1,2026-01-01 23:15:00,23,Thursday,54,40.7,0.9,Moderate
1,2026-01-01 23:30:00,23,Thursday,57,44.9,0.95,Moderate
1,2026-01-01 23:45:00,23,Thursday,68,30.4,1.13,Moderate
1,2026-01-02 00:00:00,0,Friday,5,54.7,0.08,Free Flow
1,2026-01-02 00:15:00,0,Friday,5,55.6,0.08,Free Flow
1,2026-01-02 00:30:00,0,Friday,20,54.4,0.33,Free Flow
1,2026-01-02 00:45:00,0,Friday,20,50.0,0.33,Free Flow
1,2026-01-02 01:00:00,1,Friday,6,60.6,0.1,Free Flow
1,2026-01-02 01:15:00,1,Friday,16,59.8,0.27,Free Flow
1,2026-01-02 01:30:00,1,Friday,22,53.3,0.37,Free Flow
1,2026-01-02 01:45:00,1,Friday,8,57.6,0.13,Free Flow
1,2026-01-02 02:00:00,2,Friday,17,57.7,0.28,Free Flow
1,2026-01-02 02:15:00,2,Friday,9,58.8,0.15,Free Flow
1,2026-01-02 02:30:00,2,Friday,6,52.5,0.1,Free Flow
1,2026-01-02 02:45:00,2,Friday,0,64.5,0.0,Free Flow
1,2026-01-02 03:00:00,3,Friday,21,47.7,0.35,Free Flow
1,2026-01-02 03:15:00,3,Friday,9,49.5,0.15,Free Flow
1,2026-01-02 03:30:00,3,Friday,16,52.9,0.27,Free Flow
1,2026-01-02 03:45:00,3,Friday,8,56.5,0.13,Free Flow
1,2026-01-02 04:00:00,4,Friday,20,44.5,0.33,Free Flow
1,2026-01-02 04:15:00,4,Friday,9,57.9,0.15,Free Flow
1,2026-01-02 04:30:00,4,Friday,13,55.7,0.22,Free Flow
1,2026-01-02 04:45:00,4,Friday,16,49.2,0.27,Free Flow
1,2026-01-02 05:00:00,5,Friday,11,50.2,0.18,Free Flow
1,2026-01-02 05:15:00,5,Friday,0,59.7,0.0,Free Flow
1,2026-01-02 05:30:00,5,Friday,11,55.1,0.18,Free Flow
1,2026-01-02 05:45:00,5,Friday,6,44.1,0.1,Free Flow
1,2026-01-02 06:00:00,6,Friday,49,37.2,0.82,Moderate
1,2026-01-02 06:15:00,6,Friday,60,37.0,1.0,Moderate
1,2026-01-02 06:30:00,6,Friday,82,28.8,1.37,Congested
1,2026-01-02 06:45:00,6,Friday,78,30.8,1.3,Congested
1,2026-01-02 07:00:00,7,Friday,166,5.0,2.77,Critical
1,2026-01-02 07:15:00,7,Friday,142,5.0,2.37,Critical
1,2026-01-02 07:30:00,7,Friday,126,9.9,2.1,Critical
1,2026-01-02 07:45:00,7,Friday,156,5.0,2.6,Critical
1,2026-01-02 08:00:00,8,Friday,161,5.0,2.68,Critical
1,2026-01-02 08:15:00,8,Friday,157,5.0,2.62,Critical
1,2026-01-02 08:30:00,8,Friday,135,5.0,2.25,Critical
1,2026-01-02 08:45:00,8,Friday,146,5.0,2.43,Critical
1,2026-01-02 09:00:00,9,Friday,101,21.7,1.68,Critical
1,2026-01-02 09:15:00,9,Friday,92,26.2,1.53,Congested
1,2026-01-02 09:30:00,9,Friday,86,25.4,1.43,Congested
1,2026-01-02 09:45:00,9,Friday,100,18.9,1.67,Congested
1,2026-01-02 10:00:00,10,Friday,94,24.8,1.57,Congested
1,2026-01-02 10:15:00,10,Friday,86,21.3,1.43,Congested
1,2026-01-02 10:30:00,10,Friday,80,25.8,1.33,Congested
1,2026-01-02 10:45:00,10,Friday,95,19.2,1.58,Congested
1,2026-01-02 11:00:00,11,Friday,68,31.9,1.13,Moderate
1,2026-01-02 11:15:00,11,Friday,58,32.6,0.97,Moderate
1,2026-01-02 11:30:00,11,Friday,53,35.3,0.88,Moderate
1,2026-01-02 11:45:00,11,Friday,55,31.4,0.92,Moderate
1,2026-01-02 12:00:00,12,Friday,44,36.0,0.73,Moderate
1,2026-01-02 12:15:00,12,Friday,60,34.4,1.0,Moderate
1,2026-01-02 12:30:00,12,Friday,47,43.8,0.78,Moderate
1,2026-01-02 12:45:00,12,Friday,63,38.9,1.05,Moderate
1,2026-01-02 13:00:00,13,Friday,58,35.0,0.97,Moderate
1,2026-01-02 13:15:00,13,Friday,57,42.9,0.95,Moderate
1,2026-01-02 13:30:00,13,Friday,66,34.0,1.1,Moderate
1,2026-01-02 13:45:00,13,Friday,48,38.9,0.8,Moderate
1,2026-01-02 14:00:00,14,Friday,63,35.6,1.05,Moderate
1,2026-01-02 14:15:00,14,Friday,67,36.5,1.12,Moderate
1,2026-01-02 14:30:00,14,Friday,53,36.2,0.88,Moderate
